filename,state,county,city,lat,lon,title,gender,race,interviewer
03709_0001.pdf,Alabama,Dale,Ozark,31.445645,-85.64089999999999,A Negro Cook's Day,female,black,George S. Barnard
03709_0002.pdf,Alabama,Escambia,Atmore,31.058419450000002,-87.4931685,The Hines,female,black,Annie L. Bowman
03709_0003.pdf,Alabama,Escambia,Atmore,31.058419450000002,-87.4931685,Another version of the above interview,female,black,Annie L. Bowman
03709_0004.pdf,Alabama,Tallapposa,Alexander City,32.9209859,-85.93859255,Julia Rhodes,female,white,Maude Cain
03709_0005.pdf,Alabama,Tallapposa,Alexander City,32.9209859,-85.93859255,Bertie Turner,female,white,Maude Cain
03709_0006.pdf,Alabama,Sumter,McCainville,32.6529122,-88.21474889999999,Looking Around with a Hay Farmer,male,white,Luther Clark
03709_0007.pdf,Alabama,Calhoun,Anniston,33.675441500000005,-85.84330145,Soil Pipe Worker,male,white,Victoria Coleman
03709_0008.pdf,Alabama,Barbour,Eufaula,31.90525005,-85.16434545,"Sam Lynn, Fisherman and River Rat [Famous for Fish]",male,black,Gertha Couric
03709_0009.pdf,Alabama,Barbour,Eufaula,31.90525005,-85.16434545,Mid-Wives are Called Grannies,female,other,Gertha Couric
03709_0010.pdf,Alabama,Barbour,Eufaula,31.90525005,-85.16434545,Three Workers of Cowikee Cotton Mill,female,white,Gertha Couric
03709_0011.pdf,Alabama,Barbour,Eufaula,31.90525005,-85.16434545,The Hughes Family,male,white,Gertha Couric
03709_0012.pdf,Alabama,Barbour,Eufaula,31.90525005,-85.16434545,The Sam Andersons-Cotton Mill Workers,male,white,Gertha Couric
03709_0013.pdf,Alabama,Barbour,Eufaula,31.90525005,-85.16434545,Mill Workers,female,white,Gertha Couric
03709_0014.pdf,Alabama,Barbour,Eufaula,31.90525005,-85.16434545,Ed West-Installment Collector,male,white,Gertha Couric
03709_0015.pdf,Alabama,Barbour,Eufaula,31.90525005,-85.16434545,My Time is Mighty Nigh Out,female,black,Gertha Couric
03709_0017.pdf,Alabama,Barbour,Comer,32.0329338,-85.38327319999999,Another version of the above interview,female,white,Gertha Couric
03709_0018.pdf,Alabama,Barbour,Eufaula,31.90525005,-85.16434545,Fifty-Two Years in the Cotton Mill,male,white,Gertha Couric
03709_0019.pdf,Alabama,Mobile,Mobile,30.701915999999997,-88.0889344,"Sharon Cousins, Knight of the Road",male,white,Francois L. Diard
03709_0020.pdf,Alabama,Talladega,Sylacauga,33.194191950000004,-86.27352454999999,Veteran Newspaper Man,male,white,Noma Dobson
03709_0021.pdf,Alabama,Colbert,Sheffield,34.75566245,-87.7038444,"C. F. Gerber, Farmer",male,white,Charles M. Donigan
03709_0022.pdf,Alabama,Baldwin,Fairhope,30.5133685,-87.88044105,Story of a Minister's Family and Life,male,white,Lawrence F. Evans
03709_0023.pdf,Alabama,Mobile,Bayou la Batre,30.412252000000002,-88.26072755,"Master Cain, of the Grover Cleveland, of Bayou la Batre",male,white,Lawrence F. Evans
03709_0024.pdf,Alabama,Baldwin,Foley,30.401345,-87.67636350000001,A Small Town Doctor,male,white,Lawrence F. Evans
03709_0025.pdf,Alabama,Baldwin,Daphne,30.622899949999997,-87.8823559,The Potter,male,white,Lawrence F. Evans
